Time,UUID,LocalName,RSSI,MedianRSSI
2014-09-19T14:27:50+02:00,69c40a6102c6,0,-46,-46
2014-09-19T14:27:50+02:00,69c40a6102c6,0,-46,-46
2014-09-19T14:27:50+02:00,69c40a6102c6,0,-51,-46
2014-09-19T14:27:50+02:00,69c40a6102c6,0,-51,-48.5
2014-09-19T14:27:50+02:00,69c40a6102c6,0,-51,-51
2014-09-19T14:27:50+02:00,69c40a6102c6,0,-51,-51
2014-09-19T14:27:50+02:00,69c40a6102c6,0,-51,-51
2014-09-19T14:27:50+02:00,69c40a6102c6,0,-50,-51
2014-09-19T14:27:50+02:00,69c40a6102c6,0,-47,-51
2014-09-19T14:27:50+02:00,69c40a6102c6,0,-50,-51
2014-09-19T14:27:50+02:00,69c40a6102c6,0,-51,-51
2014-09-19T14:27:50+02:00,69c40a6102c6,0,-50,-50
2014-09-19T14:27:50+02:00,69c40a6102c6,0,-49,-50
2014-09-19T14:27:50+02:00,69c40a6102c6,0,-64,-50
2014-09-19T14:27:50+02:00,69c40a6102c6,0,-64,-50
2014-09-19T14:27:50+02:00,69c40a6102c6,0,-65,-51
2014-09-19T14:27:50+02:00,69c40a6102c6,0,-65,-64
2014-09-19T14:27:50+02:00,69c40a6102c6,0,-65,-64
2014-09-19T14:27:50+02:00,69c40a6102c6,0,-65,-65
2014-09-19T14:27:50+02:00,69c40a6102c6,0,-46,-65
2014-09-19T14:27:50+02:00,69c40a6102c6,0,-46,-65
2014-09-19T14:27:50+02:00,69c40a6102c6,0,-46,-65
2014-09-19T14:27:50+02:00,69c40a6102c6,0,-46,-46
2014-09-19T14:27:50+02:00,69c40a6102c6,0,-46,-46
2014-09-19T14:27:50+02:00,69c40a6102c6,0,-51,-46
2014-09-19T14:27:50+02:00,69c40a6102c6,0,-51,-46
2014-09-19T14:27:50+02:00,69c40a6102c6,0,-51,-46
2014-09-19T14:27:50+02:00,69c40a6102c6,0,-51,-51
2014-09-19T14:27:50+02:00,69c40a6102c6,0,-51,-51
2014-09-19T14:27:50+02:00,69c40a6102c6,0,-51,-51
2014-09-19T14:27:50+02:00,69c40a6102c6,0,-51,-51
2014-09-19T14:27:51+02:00,69c40a6102c6,0,-51,-51
2014-09-19T14:27:51+02:00,69c40a6102c6,0,-51,-51
2014-09-19T14:27:51+02:00,69c40a6102c6,0,-65,-51
2014-09-19T14:27:51+02:00,69c40a6102c6,0,-66,-51
2014-09-19T14:27:51+02:00,69c40a6102c6,0,-65,-51
2014-09-19T14:27:51+02:00,69c40a6102c6,0,-65,-65
2014-09-19T14:27:51+02:00,69c40a6102c6,0,-66,-65
2014-09-19T14:27:51+02:00,69c40a6102c6,0,-66,-65
2014-09-19T14:27:51+02:00,69c40a6102c6,0,-47,-65
2014-09-19T14:27:51+02:00,69c40a6102c6,0,-46,-65
2014-09-19T14:27:51+02:00,69c40a6102c6,0,-50,-65
2014-09-19T14:27:51+02:00,69c40a6102c6,0,-50,-50
2014-09-19T14:27:51+02:00,69c40a6102c6,0,-50,-50
2014-09-19T14:27:51+02:00,69c40a6102c6,0,-50,-50
2014-09-19T14:27:51+02:00,69c40a6102c6,0,-50,-50
2014-09-19T14:27:51+02:00,69c40a6102c6,0,-49,-50
2014-09-19T14:27:51+02:00,69c40a6102c6,0,-50,-50
2014-09-19T14:27:51+02:00,69c40a6102c6,0,-65,-50
2014-09-19T14:27:51+02:00,69c40a6102c6,0,-65,-50
2014-09-19T14:27:51+02:00,69c40a6102c6,0,-65,-50
2014-09-19T14:27:51+02:00,69c40a6102c6,0,-47,-50
2014-09-19T14:27:51+02:00,69c40a6102c6,0,-47,-50
2014-09-19T14:27:51+02:00,69c40a6102c6,0,-47,-50
2014-09-19T14:27:51+02:00,69c40a6102c6,0,-47,-47
2014-09-19T14:27:51+02:00,69c40a6102c6,0,-51,-47
2014-09-19T14:27:52+02:00,69c40a6102c6,0,-67,-47
2014-09-19T14:27:52+02:00,69c40a6102c6,0,-67,-47
2014-09-19T14:27:52+02:00,69c40a6102c6,0,-66,-51
2014-09-19T14:27:52+02:00,69c40a6102c6,0,-66,-66
2014-09-19T14:27:52+02:00,69c40a6102c6,0,-67,-66
2014-09-19T14:27:52+02:00,69c40a6102c6,0,-46,-66
2014-09-19T14:27:52+02:00,69c40a6102c6,0,-46,-66
2014-09-19T14:27:52+02:00,69c40a6102c6,0,-46,-66
2014-09-19T14:27:52+02:00,69c40a6102c6,0,-51,-51
2014-09-19T14:27:52+02:00,69c40a6102c6,0,-51,-51
2014-09-19T14:27:52+02:00,69c40a6102c6,0,-51,-51
2014-09-19T14:27:52+02:00,69c40a6102c6,0,-51,-51
2014-09-19T14:27:52+02:00,69c40a6102c6,0,-66,-51
2014-09-19T14:27:52+02:00,69c40a6102c6,0,-66,-51
2014-09-19T14:27:52+02:00,69c40a6102c6,0,-66,-51
2014-09-19T14:27:52+02:00,69c40a6102c6,0,-66,-66
2014-09-19T14:27:52+02:00,69c40a6102c6,0,-66,-66
2014-09-19T14:27:52+02:00,69c40a6102c6,0,-66,-66
